,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
0,P(WO4)2,mp-504791,LiP(WO4)2,mp-763526,2.3251851700000024,mp-504791_Li,50.22860860386586,269.2627711236853,116.7908158354434,626.0858022498979,0.0285644630403385
1,P3W2O13,mp-767085,LiP3W2O13,mp-763539,3.291747695000003,mp-763480_Li,39.6744828157443,154.215697534469,130.59838735904353,507.639166891906,0.0175619758737517
2,P8W3O29,mp-777230,Li2P8W3O29,mp-777867,5.06257936249998,mp-1176966_Li,181.9432051280556,651.7086953221344,656.75514394757,2352.454095259708,0.0610335057984583
3,P2WO7,mvc-5592,LiP2WO7,mp-763367,3.2011691699999907,mvc-5592_Li,73.48421696231496,329.72694581157884,235.23540982135304,1055.5117334502838,0.0210963444188263
4,P2WO7,mp-773366,LiP2WO7,mp-763566,2.4383090549999955,mp-763566_Li,73.48421696231496,306.0814056860658,179.17723161879684,746.3210630514614,0.0253494674597012
5,P4WO13,mp-761353,LiP4WO13,mp-761393,5.2324398250000055,mp-761353_Li,101.21228606736736,324.09209823363926,437.5789215723724,1401.1724894822546,0.020360291392254
6,P4WO13,mp-767481,LiP4WO13,mp-763403,5.210250439999988,mp-763403_Li,51.278189288915165,174.7072610303803,267.1722083049729,910.2685836547316,0.0159616674605824
7,P4WO12,mp-761345,LiP4WO12,mp-763455,3.074790860000012,mp-761345_Li,52.89743283417664,161.49367380486066,162.64854299599088,496.559272163009,0.0315619899526533
8,P4WO12,mp-767578,LiP4WO12,mp-763392,3.323922764999997,mp-763392_Li,52.89743283417664,160.09735246944663,175.82698120757806,532.1512344894222,0.0127780528708265
9,P4WO12,mp-767549,LiP4WO12,mp-763466,3.388839185,mp-763466_Li,52.89743283417664,184.4849973753824,179.2608931743634,625.1899881503181,0.0278697964487661
10,P4WO12,mp-767563,LiP4WO12,mp-1176594,3.646267255000003,mp-1176594_Li,52.89743283417664,188.72348483568564,192.8781772168203,688.1362630058501,0.0236433991441054
11,P4WO12,mp-767776,LiP4WO12,mp-763463,3.522949280000011,mp-763463_Li,52.89743283417664,196.16399023357948,186.3549729170116,691.075788155318,0.00738665117385
12,Li2MnOF3,mp-767180,Li3MnOF3,mp-779954,2.9889950150000053,mp-767180_Li,180.17117687605307,567.1067801057602,538.5307495292069,1695.0793387088215,0.0359876794761759
13,LiMn3OF8,mp-763875,Li4Mn3OF8,mp-764981,3.655577203333332,mp-763875_Li,222.99584666829745,726.0351229398954,815.1785335186431,2654.077444238394,0.0930895452895741
14,Mn5OF11,mp-767187,Li3Mn5OF11,mp-767196,3.8262685100000007,mp-767187_Li,154.47686292710176,543.9613805812958,591.069956141556,2081.342301174338,0.0415304462989425
15,Mn3OF6,mp-763854,Li2Mn3OF6,mp-764368,3.6714482399999935,mp-763854_Li,173.64885568382402,585.4690308971701,637.5427855783887,2149.5192430619177,0.0581795982138704
16,Mn4OF8,mp-767164,Li2Mn4OF8,mp-765945,3.627713337499996,mp-765945_Li,133.46659825658023,476.0514050389247,484.17855860614975,1726.9780313953197,0.0362690280554092
17,Mn2OF3,mp-767172,LiMn2OF3,mp-767309,3.032714892499994,mp-767172_Li,141.20036548184228,495.5438335459653,428.2204512232252,1502.8431638813868,0.0930310263577434
